2022-04-01 21:10:54 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15
2022-04-01 21:11:14 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15
2022-04-01 21:12:12 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-01 21:12:13 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-01 21:12:21 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-01 21:12:22 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-01 21:12:31 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-01 21:12:33 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-01 21:12:34 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-01 21:12:35 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-01 21:12:42 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-01 21:12:43 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-01 21:12:56 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-01 21:12:57 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-01 21:12:58 EPC: 007219000000000000000439, TID: E28011052000591CD2270065
2022-04-01 21:12:58 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-01 21:13:07 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-01 21:13:08 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-01 21:13:17 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-01 21:13:18 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-01 21:14:25 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065
2022-04-01 21:14:26 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065
2022-04-01 21:14:27 EPC: 00721900000000000000043B, TID: E280110520005A5CD2270065
2022-04-01 21:14:35 EPC: 0072190000000000000004F1, TID: E280110520005259D2410065
2022-04-01 21:14:36 EPC: 0072190000000000000004F1, TID: E280110520005259D2410065
2022-04-01 21:14:46 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065
2022-04-01 21:14:48 EPC: 0072190000000000000003E2, TID: E280110520005446D38C0065
