2022-04-02 21:06:08 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065
2022-04-02 21:06:09 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065
2022-04-02 21:06:17 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065
2022-04-02 21:06:18 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065
2022-04-02 21:06:19 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065
2022-04-02 21:06:30 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065
2022-04-02 21:06:31 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065
2022-04-02 21:06:32 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065
2022-04-02 21:06:43 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065
2022-04-02 21:06:44 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065
2022-04-02 21:06:45 EPC: 007219000000000000000BDA, TID: E280110520005B05D2E30065
2022-04-02 21:06:55 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065
2022-04-02 21:06:56 EPC: 00721900000000000000045D, TID: E280110520005799D25A0065
2022-04-02 21:07:06 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065
2022-04-02 21:07:07 EPC: 00721900000000000000039A, TID: E280110520005645D38C0065
2022-04-02 21:07:35 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065
2022-04-02 21:07:36 EPC: 0072190000000000000003D8, TID: E280110520005B46D48B0065
2022-04-02 21:08:40 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:08:41 EPC: 007219000000000000000444, TID: E280110520005AD9D2720065
2022-04-02 21:08:43 EPC: 00721900000000000000040F, TID: E2801105200054DCD25A0065
2022-04-02 21:08:50 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-02 21:08:51 EPC: 0072190000000000000004E3, TID: E28011052000589AD18B0065
2022-04-02 21:09:01 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
2022-04-02 21:09:02 EPC: 007219000000000000000439, TID: E28011052000591CD2270065
2022-04-02 21:09:02 EPC: 007219000000000000000432, TID: E280110520005719D25A0065
