2022-04-05 08:17:20 EPC: 007219000000000000000A03, TID: E28011052000544BD2590065, ANT: 01
2022-04-05 08:17:27 EPC: 007219000000000000000D86, TID: E280110520005645D3470065, ANT: 01
2022-04-05 08:17:33 EPC: 007219000000000000000D86, TID: E280110520005645D3470065, ANT: 01
2022-04-05 08:17:58 EPC: 044145000000000000002591, TID: E280110C2000754EEAFC0A15, ANT: 01
2022-04-05 08:17:59 EPC: 044145000000000000002591, TID: E280110C2000754EEAFC0A15, ANT: 01
2022-04-05 08:18:08 EPC: 007219000000000000000475, TID: E280110520005ADAD1420065, ANT: 01
2022-04-05 08:18:18 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-04-05 08:18:19 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-04-05 08:18:22 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-04-05 08:18:24 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-04-05 08:18:26 EPC: 007219000000000000000478, TID: E280110520005659D12D0065, ANT: 01
2022-04-05 08:18:46 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15, ANT: 01
2022-04-05 08:18:47 EPC: 044145000000000000002448, TID: E280110C2000738EEAF90A15, ANT: 01
2022-04-05 08:18:55 EPC: 04414500000000000000261C, TID: E280110C2000729CBB490A11, ANT: 01
2022-04-05 08:19:02 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15, ANT: 01
2022-04-05 08:19:03 EPC: 044145000000000000002DCA, TID: E280110C20007845EABD0A15, ANT: 01
2022-04-05 08:19:20 EPC: 04414500000000000000234F, TID: E280110C2000730DEAB40A15, ANT: 01
2022-04-05 08:19:21 EPC: 04414500000000000000234F, TID: E280110C2000730DEAB40A15, ANT: 01
2022-04-05 08:19:29 EPC: 007219000000000000000B0F, TID: E280110520005244D3320065, ANT: 01
2022-04-05 08:19:35 EPC: 007219000000000000000CEF, TID: E2801105200058DAD2270065, ANT: 01
